,0,1
6312,30,11
6669,8,8
6116,7,1
6164,19,9
3430,13,6
7045,20,6
7020,12,7
5400,12,1
1193,1,5
4120,25,1
18613,25,11
9056,17,4
1914,6,8
9936,31,10
7586,8,2
4376,18,5
5081,30,1
6581,11,7
3869,20,6
24396,27,9
11786,12,2
7632,28,11
8630,15,8
1902,10,4
5428,1,11
23189,8,2
16943,1,1
9691,6,2
4054,28,9
7906,19,6
5413,29,10
9702,11,7
5431,17,3
14082,7,5
1916,13,8
5032,22,2
2319,26,5
14963,17,3
1906,4,4
1909,28,4
19504,5,4
8615,14,7
11055,19,5
17854,10,10
7661,25,2
15949,7,12
14164,2,3
17205,22,6
12061,6,10
124,6,11
24510,12,12
13914,6,3
8737,30,3
8554,13,1
3406,20,3
1128,29,11
22972,7,8
5352,14,5
17882,27,8
20983,12,10
7201,12,10
12624,19,4
5988,28,12
7203,23,2
22951,8,10
12754,4,1
2860,1,3
6088,6,9
6310,27,4
6366,27,12
4997,18,7
18174,29,12
1878,8,2
21719,2,9
5663,18,8
14198,10,2
8293,17,4
5656,27,6
15219,1,12
7196,24,2
21173,24,9
4283,21,3
501,28,7
5063,7,11
1229,4,4
9377,13,7
493,16,5
2019,2,7
3183,17,5
8838,18,10
6760,25,1
13990,17,9
11524,12,11
7971,13,6
8901,14,11
6146,1,3
2984,11,3
18244,13,8
4240,11,7
902,19,9
4235,11,7
4247,12,10
900,27,1
904,16,5
25689,3,7
15782,20,8
14836,9,8
7055,30,6
7314,24,3
5797,9,8
3059,5,5
1445,2,9
2762,9,12
7332,6,2
13652,28,2
25005,25,9
3485,2,2
21047,15,5
11706,23,3
8148,14,12
9697,13,8
5361,21,8
8461,10,9
13121,5,6
3889,11,6
14081,22,5
15578,23,1
3632,14,11
7888,21,2
8423,19,7
1915,6,8
7531,25,10
15577,22,2
5089,30,4
1594,17,10
8272,11,6
14877,6,8
3909,27,9
14880,18,7
7519,22,7
7536,11,7
8180,13,5
14095,12,11
8271,4,1
1918,27,2
10889,12,12
1917,4,4
10677,8,11
8600,21,6
12201,31,3
2326,23,5
8607,27,7
5068,2,8
8121,18,8
6261,16,1
11372,19,11
9841,2,2
7890,29,5
1217,16,7
5119,23,9
7507,22,10
14882,6,9
11493,29,5
14885,18,11
14881,14,6
15569,31,8
14879,6,7
3704,22,5
3879,1,3
15575,26,3
7513,16,5
8603,19,5
3703,24,5
5448,18,6
15568,10,6
10815,22,5
11488,17,6
12178,3,7
3873,24,7
8626,27,8
8407,19,12
1020,10,7
4166,13,7
16419,19,9
18791,15,8
14883,29,10
7072,8,8
3380,19,12
6266,11,4
10814,7,3
11538,9,6
8454,1,10
583,16,4
584,16,3
10808,15,6
7301,9,3
12977,27,11
10891,28,5
2322,7,12
1901,5,8
8395,1,7
450,27,12
11695,29,5
14084,16,1
16161,29,11
3610,14,3
12967,22,6
4738,5,2
1386,29,5
21436,21,3
12704,19,9
10021,13,9
9847,18,11
15420,9,4
8123,14,6
14,2,9
5437,3,7
3736,16,11
5405,7,10
7826,22,1
415,21,3
11232,24,3
20925,2,4
21907,14,9
21410,9,8
794,12,4
17098,22,10
10807,8,9
11684,22,8
3843,18,6
17168,14,8
16247,31,12
9758,19,7
16838,1,1
16385,4,6
10675,9,9
2275,27,4
5435,5,2
5094,26,3
1533,2,5
1219,14,7
5030,30,1
9836,5,8
441,25,6
1414,30,10
577,20,7
2975,13,8
13410,25,6
15306,11,6
8137,10,11
27202,20,7
28381,2,11
14214,21,3
639,4,4
115,9,1
2108,18,10
13867,15,11
8473,12,10
11972,20,10
16680,11,12
12686,27,11
7155,22,7
8233,12,7
11681,29,4
8066,12,12
5410,16,9
3979,9,8
7048,1,2
11990,8,4
9707,28,7
3876,2,2
5091,26,7
8601,18,1
7540,6,11
7508,1,11
17398,1,11
4294,16,10
11607,11,9
14964,19,9
19468,9,5
10299,2,10
15303,3,8
9940,24,2
8623,16,9
3867,16,1
1913,27,4
2507,13,6
3454,4,1
5522,23,7
11128,28,4
7999,27,2
21927,10,9
12065,10,10
5360,25,4
13715,11,9
13674,28,9
28701,1,7
3602,9,9
20,27,6
3423,11,8
17471,6,2
12749,16,7
13828,23,10
5403,26,6
2335,30,10
13449,13,6
13669,24,1
7302,17,7
2583,8,10
18432,8,10
1086,23,2
13915,26,6
17371,16,9
7979,16,2
11163,1,2
6141,4,1
17387,9,7
7737,15,9
10737,11,5
13918,11,12
6431,11,5
7889,10,7
20240,16,7
16916,2,9
10469,10,8
14832,7,9
22924,3,7
11503,19,8
5855,31,8
8947,3,2
10885,27,12
3431,18,7
4569,27,2
10896,12,10
12342,1,10
5050,24,10
9150,20,12
8937,12,2
9747,17,9
3427,9,6
10027,9,10
9801,7,5
15024,27,3
14069,20,9
7904,26,9
5100,22,3
12980,19,11
17780,24,12
19499,26,9
14219,12,6
3972,26,9
23898,24,10
5055,13,1
16289,1,6
20252,28,7
9539,2,11
8117,18,11
315,30,5
5133,25,3
429,20,9
1928,1,2
27845,26,7
3980,25,6
8634,17,4
5446,4,5
5445,9,12
14117,22,7
6263,1,5
316,21,3
8614,29,1
10338,15,8
3620,14,3
11315,26,11
22363,11,1
14659,7,8
11788,2,8
